origem_id,destino_id,tipo_relacao,data
ons/ons_subm_dulo_7_15_pr_2024_04.txt,ons/ons_s_bmodulo_7_15_pr_2022_08.txt,sucede,2024.04
ons/ons_subm_dulo_7_15_pr_2025_02.txt,ons/ons_subm_dulo_7_15_pr_2024_04.txt,sucede,2025.02
ons/ons_subm_dulo_7_15_pr_2025_08.txt,ons/ons_subm_dulo_7_15_pr_2025_02.txt,sucede,2025.08
ons/ons_s_bmodulo_7_15_rs_2023_01.txt,ons/ons_subm_dulo_7_15_rs_2020_12.txt,sucede,2023.01
ons/ons_subm_dulo_7_15_rs_2025_12.txt,ons/ons_s_bmodulo_7_15_rs_2023_01.txt,sucede,2025.12
ons/ons_subm_dulo_7_1_pr_2021_08_docx_db2581cd_8db7_4d1e_8d60_a0d2d2.txt,ons/ons_subm_dulo_7_1_pr_2020_12.txt,sucede,2021.08
ons/ons_subm_dulo_7_1_pr_2022_10_docx_a0d4769b_26ab_4fb0_9cf6_b884ec.txt,ons/ons_subm_dulo_7_1_pr_2021_08_docx_db2581cd_8db7_4d1e_8d60_a0d2d2.txt,sucede,2022.10
ons/ons_s_bmodulo_7_1_pr_2023_08.txt,ons/ons_subm_dulo_7_1_pr_2022_10_docx_a0d4769b_26ab_4fb0_9cf6_b884ec.txt,sucede,2023.08
ons/ons_subm_dulo_7_1_pr_2024_06.txt,ons/ons_s_bmodulo_7_1_pr_2023_08.txt,sucede,2024.06
ons/ons_subm_dulo_7_1_pr_2026_04.txt,ons/ons_subm_dulo_7_1_pr_2024_06.txt,sucede,2026.04
ons/ons_subm_dulo_7_1_rs_2022_10_docx_2bd96cf0_52ee_4a40_ae6a_7b8ded.txt,ons/ons_subm_dulo_7_1_rs_2020_12.txt,sucede,2022.10
ons/ons_s_bmodulo_7_1_rs_2023_08.txt,ons/ons_subm_dulo_7_1_rs_2022_10_docx_2bd96cf0_52ee_4a40_ae6a_7b8ded.txt,sucede,2023.08
ons/ons_subm_dulo_7_1_rs_2024_06.txt,ons/ons_s_bmodulo_7_1_rs_2023_08.txt,sucede,2024.06
ons/ons_subm_dulo_7_1_rs_2026_04.txt,ons/ons_subm_dulo_7_1_rs_2024_06.txt,sucede,2026.04
ons/ons_s_bmodulo_7_9_op_2022_10.txt,ons/ons_subm_dulo_7_9_op_2020_12.txt,sucede,2022.10
ons/ons_subm_dulo_8_1_pr_2021_08_docx_d26333fc_5680_4b7a_878f_3507b8.txt,ons/ons_subm_dulo_8_1_pr_2020_12.txt,sucede,2021.08
ons/ons_subm_dulo_8_1_pr_2022_10.txt,ons/ons_subm_dulo_8_1_pr_2021_08_docx_d26333fc_5680_4b7a_878f_3507b8.txt,sucede,2022.10
ons/ons_s_bmodulo_8_1_pr_2023_07.txt,ons/ons_subm_dulo_8_1_pr_2022_10.txt,sucede,2023.07
ons/ons_s_bmodulo_8_1_pr_2023_09.txt,ons/ons_s_bmodulo_8_1_pr_2023_07.txt,sucede,2023.09
ons/ons_subm_dulo_8_1_pr_2024_06.txt,ons/ons_s_bmodulo_8_1_pr_2023_09.txt,sucede,2024.06
ons/ons_subm_dulo_8_1_pr_2025_02.txt,ons/ons_subm_dulo_8_1_pr_2024_06.txt,sucede,2025.02
ons/ons_subm_dulo_8_1_pr_2025_06.txt,ons/ons_subm_dulo_8_1_pr_2025_02.txt,sucede,2025.06
ons/ons_s_bmodulo_8_1_rs_2023_07.txt,ons/ons_subm_dulo_8_1_rs_2020_12.txt,sucede,2023.07
ons/ons_s_bmodulo_8_1_rs_2023_09.txt,ons/ons_s_bmodulo_8_1_rs_2023_07.txt,sucede,2023.09
ons/ons_subm_dulo_8_1_rs_2024_06.txt,ons/ons_s_bmodulo_8_1_rs_2023_09.txt,sucede,2024.06
ons/ons_subm_dulo_8_1_rs_2025_02.txt,ons/ons_subm_dulo_8_1_rs_2024_06.txt,sucede,2025.02
ons/ons_s_bmodulo_8_3_pr_2022_10.txt,ons/ons_subm_dulo_8_3_pr_2020_12.txt,sucede,2022.10
ons/ons_s_bmodulo_8_3_pr_2023_09.txt,ons/ons_s_bmodulo_8_3_pr_2022_10.txt,sucede,2023.09
ons/ons_subm_dulo_8_3_pr_2024_06.txt,ons/ons_s_bmodulo_8_3_pr_2023_09.txt,sucede,2024.06
ons/ons_subm_dulo_8_3_pr_2025_06.txt,ons/ons_subm_dulo_8_3_pr_2024_06.txt,sucede,2025.06
ons/ons_subm_dulo_1_1_rs_2024_07.txt,ons/ons_subm_dulo_1_1_rs_2020_12.txt,sucede,2024.07
ons/ons_subm_dulo_1_1_rs_2026_04.txt,ons/ons_subm_dulo_1_1_rs_2024_07.txt,sucede,2026.04
ons/ons_subm_dulo_1_3_pr_2025_06.txt,ons/ons_subm_dulo_1_3_pr_2020_12.txt,sucede,2025.06
ons/ons_subm_dulo_1_3_pr_2026_04.txt,ons/ons_subm_dulo_1_3_pr_2025_06.txt,sucede,2026.04
ons/ons_subm_dulo_1_3_rs_2025_06.txt,ons/ons_subm_dulo_1_3_rs_2020_12.txt,sucede,2025.06
ons/ons_subm_dulo_1_3_rs_2026_04.txt,ons/ons_subm_dulo_1_3_rs_2025_06.txt,sucede,2026.04
ons/ons_subm_dulo_2_10_rq_2021_08_docx_f72e315f_74a1_4c83_b601_d92d6.txt,ons/ons_subm_dulo_2_10_rq_2020_12.txt,sucede,2021.08
ons/ons_subm_dulo_2_10_rq_2022_10.txt,ons/ons_subm_dulo_2_10_rq_2021_08_docx_f72e315f_74a1_4c83_b601_d92d6.txt,sucede,2022.10
ons/ons_subm_dulo_2_10_rq_2023_10.txt,ons/ons_subm_dulo_2_10_rq_2022_10.txt,sucede,2023.10
ons/ons_subm_dulo_2_10_rq_2025_02.txt,ons/ons_subm_dulo_2_10_rq_2023_10.txt,sucede,2025.02
ons/ons_subm_dulo_2_11_rq_2024_05.txt,ons/ons_subm_dulo_2_11_rq_2020_12.txt,sucede,2024.05
ons/ons_subm_dulo_2_12_rq_2022_06.txt,ons/ons_subm_dulo_2_12_rq_2020_12.txt,sucede,2022.06
ons/ons_subm_dulo_2_12_rq_2022_10_docx_3cffeb00_1aa5_4187_a0b8_8d190.txt,ons/ons_subm_dulo_2_12_rq_2022_06.txt,sucede,2022.10
ons/ons_subm_dulo_2_12_rq_2024_12.txt,ons/ons_subm_dulo_2_12_rq_2022_10_docx_3cffeb00_1aa5_4187_a0b8_8d190.txt,sucede,2024.12
ons/ons_subm_dulo_2_12_rq_2025_02.txt,ons/ons_subm_dulo_2_12_rq_2024_12.txt,sucede,2025.02
ons/ons_subm_dulo_2_12_rq_2026_04.txt,ons/ons_subm_dulo_2_12_rq_2025_02.txt,sucede,2026.04
ons/ons_subm_dulo_2_14_rq_2022_10_docx_327120d5_e044_40d8_ba2f_1ec70.txt,ons/ons_subm_dulo_2_14_rq_2020_12.txt,sucede,2022.10
ons/ons_subm_dulo_2_14_rq_2022_11.txt,ons/ons_subm_dulo_2_14_rq_2022_10_docx_327120d5_e044_40d8_ba2f_1ec70.txt,sucede,2022.11
ons/ons_subm_dulo_2_15_rq_2021_06.txt,ons/ons_subm_dulo_2_15_rq_2020_12.txt,sucede,2021.06
ons/ons_subm_dulo_2_15_rq_2022_02.txt,ons/ons_subm_dulo_2_15_rq_2021_06.txt,sucede,2022.02
ons/ons_subm_dulo_2_15_rq_2025_02.txt,ons/ons_subm_dulo_2_15_rq_2022_02.txt,sucede,2025.02
ons/ons_subm_dulo_2_16_rq_2022_02_docx_96956167_bfee_4ae3_bcc4_ff31e.txt,ons/ons_subm_dulo_2_16_rq_2020_12.txt,sucede,2022.02
ons/ons_subm_dulo_2_16_rq_2025_02.txt,ons/ons_subm_dulo_2_16_rq_2022_02_docx_96956167_bfee_4ae3_bcc4_ff31e.txt,sucede,2025.02
ons/ons_subm_dulo_2_1_df_2020_12_docx_18829464_44b8_40d4_8ad3_a8b5d4.txt,ons/ons_subm_dulo_2_1_df_2020_12.txt,sucede,2020.12
ons/ons_subm_dulo_2_1_df_2024_07.txt,ons/ons_subm_dulo_2_1_df_2020_12_docx_18829464_44b8_40d4_8ad3_a8b5d4.txt,sucede,2024.07
ons/ons_subm_dulo_2_2_df_2021_08_docx_039a920e_674a_4c2c_be30_454c86.txt,ons/ons_subm_dulo_2_2_df_2020_12.txt,sucede,2021.08
ons/ons_subm_dulo_2_2_df_2025_02.txt,ons/ons_subm_dulo_2_2_df_2021_08_docx_039a920e_674a_4c2c_be30_454c86.txt,sucede,2025.02
ons/ons_subm_dulo_2_3_cr_2021_06.txt,ons/ons_subm_dulo_2_3_cr_2020_12.txt,sucede,2021.06
ons/ons_subm_dulo_2_3_cr_2021_08_docx_77a6e3f8_0c6b_4500_b225_45c2fa.txt,ons/ons_subm_dulo_2_3_cr_2021_06.txt,sucede,2021.08
ons/ons_subm_dulo_2_3_cr_2022_10.txt,ons/ons_subm_dulo_2_3_cr_2021_08_docx_77a6e3f8_0c6b_4500_b225_45c2fa.txt,sucede,2022.10
ons/ons_subm_dulo_2_3_cr_2025_02.txt,ons/ons_subm_dulo_2_3_cr_2022_10.txt,sucede,2025.02
